id,name,branch,semester,year,attendance,mid_term_marks,class_test_score,quiz_avg_score,assignment_completion,assignment_delay,previous_sem_gpa,backlogs,class_participation,doubt_asking,attention_level,behaviour
STU0287,Siddhant Nair,MECH,2,1,57,36,45,38,54,5,4.6,4,1,2,1,1
STU0288,Ankita Kapoor,EE,3,2,53,37,37,42,52,5,5.2,4,1,1,1,0
STU0289,Sneha Dixit,CIVIL,1,1,65,67,70,61,67,3,7.9,0,1,1,1,1
STU0290,Harsh Saxena,IT,2,1,35,39,47,42,61,6,5.1,4,0,2,1,0
STU0291,Avni Verma,CIVIL,4,2,92,96,82,97,93,0,8.0,0,2,2,2,2
STU0292,Amit Kapoor,CSE,7,4,70,69,59,58,85,2,7.8,2,1,1,1,1
STU0293,Pratik Patel,ECE,7,4,75,56,57,60,82,2,6.5,1,1,1,1,1
STU0294,Pranav Shah,MECH,8,4,46,36,50,49,63,5,4.8,2,0,1,0,0
STU0295,Sarthak Chopra,EE,6,3,71,58,59,65,68,1,6.3,0,1,1,1,1
STU0296,Dhruv Reddy,ECE,3,2,76,70,53,65,61,3,6.9,2,1,1,1,1
STU0297,Radhika Pillai,MECH,6,3,85,90,83,89,89,0,8.7,0,2,2,2,2
STU0298,Ishaan Tiwari,CIVIL,5,3,49,32,49,48,58,3,5.1,4,0,2,1,0
STU0299,Shruti Sharma,IT,6,3,85,90,95,88,88,0,9.6,0,2,2,2,2
STU0300,Udit Mehta,CIVIL,2,1,99,85,89,94,85,0,9.3,0,2,2,2,2
STU0301,Vikram Jain,CSE,1,1,94,81,99,80,93,0,8.5,0,2,2,2,2
STU0302,Harsh Chauhan,CSE,3,2,49,44,24,24,42,6,6.0,2,1,2,1,1
STU0303,Vishal Bansal,IT,3,2,100,86,80,83,85,0,9.3,0,2,2,2,2
STU0304,Prateek Singh,EE,1,1,39,45,32,31,64,5,4.7,2,0,1,0,1
STU0305,Rohan Kapoor,ECE,2,1,68,69,56,51,69,3,7.0,1,1,1,1,1
STU0306,Arpita Shukla,IT,5,3,62,50,52,69,71,2,7.0,2,1,1,1,1
STU0307,Ashish Shukla,ECE,8,4,78,55,59,50,85,2,6.0,0,1,1,1,1
STU0308,Simran Bansal,MECH,7,4,85,94,92,85,86,0,9.2,0,2,2,2,2
STU0309,Rohan Pandey,EE,8,4,78,55,50,64,71,3,7.2,0,1,1,1,1
STU0310,Udit Dubey,CSE,8,4,88,100,97,85,87,0,9.7,0,2,2,2,2
STU0311,Saniya Chaudhary,EE,7,4,60,57,61,69,84,2,6.6,1,1,1,1,1
STU0312,Parth Sethi,CIVIL,5,3,50,27,36,37,57,3,5.8,3,1,2,0,0
STU0313,Prachi Rajput,CSE,4,2,99,93,85,93,94,0,8.0,0,2,2,2,2
STU0314,Tushar Rastogi,ECE,2,1,49,46,26,31,56,3,4.3,3,0,2,1,0
STU0315,Prachi Srivastava,CSE,6,3,34,29,42,42,68,5,4.1,2,1,2,1,1
STU0316,Udit Kapoor,CIVIL,7,4,77,53,66,62,63,2,6.6,2,1,1,1,1
STU0317,Seema Bhatnagar,CSE,2,1,92,87,82,99,92,0,9.1,0,2,2,2,2
STU0318,Vedant Bansal,IT,5,3,57,22,37,48,69,3,4.8,4,1,2,0,0
STU0319,Priya Kapoor,ECE,8,4,30,27,42,34,61,3,5.0,3,0,1,1,0
STU0320,Kavya Dubey,CIVIL,5,3,80,70,52,58,80,3,7.5,0,1,1,1,1
STU0321,Anjali Trivedi,IT,1,1,75,51,63,50,76,2,6.5,2,1,1,1,1
STU0322,Himanshu Bhatnagar,MECH,4,2,97,84,83,81,86,0,10.0,0,2,2,2,2
STU0323,Manisha Pandey,EE,7,4,51,33,28,20,66,5,4.9,5,1,1,0,0
STU0324,Riya Joshi,IT,1,1,49,23,24,42,56,5,5.3,3,0,2,1,1
STU0325,Ashish Tiwari,MECH,1,1,87,97,84,87,87,0,9.7,0,2,2,2,2
STU0326,Harshita Reddy,CIVIL,4,2,59,25,32,30,49,5,6.0,4,1,1,0,0
STU0327,Sonam Tiwari,CIVIL,5,3,70,62,63,55,61,1,7.0,0,1,1,1,1
STU0328,Srishti Agarwal,CIVIL,4,2,35,30,25,47,68,4,5.1,5,1,1,1,1
STU0329,Anil Shah,ECE,3,2,35,46,27,36,50,4,5.2,2,0,2,0,1
STU0330,Nisha Nair,CIVIL,5,3,79,50,65,64,81,3,7.9,1,1,1,1,1
STU0331,Riya Shukla,EE,5,3,74,69,65,60,69,2,7.7,1,1,1,1,1
STU0332,Nitesh Singh,ECE,6,3,69,63,67,50,69,2,6.9,0,1,1,1,1
STU0333,Gaurav Shah,CIVIL,2,1,32,49,29,29,47,3,4.6,4,0,2,0,0
STU0334,Nandini Verma,ECE,1,1,94,80,96,97,100,0,8.0,0,2,2,2,2
STU0335,Vaibhav Chopra,EE,8,4,68,70,51,59,62,1,7.8,1,1,1,1,1
STU0336,Namrata Rastogi,EE,7,4,61,63,66,69,72,3,6.3,0,1,1,1,1
STU0337,Aarav Iyer,IT,3,2,94,97,86,90,94,0,8.8,0,2,2,2,2
STU0338,Krish Reddy,ECE,3,2,78,55,59,62,67,1,8.0,1,1,1,1,1
STU0339,Zoya Shah,CSE,7,4,43,47,46,22,47,5,4.1,4,1,1,0,0
STU0340,Riddhi Arora,MECH,4,2,74,57,61,62,75,1,7.6,2,1,1,1,1
STU0341,Vishal Malhotra,CIVIL,6,3,70,55,57,58,77,3,7.9,2,1,1,1,1
STU0342,Priya Malhotra,MECH,2,1,72,54,58,51,74,3,7.0,0,1,1,1,1
STU0343,Karan Jain,EE,7,4,87,90,98,100,88,0,8.7,0,2,2,2,2
STU0344,Priya Verma,MECH,1,1,75,65,57,69,66,2,7.3,2,1,1,1,1
STU0345,Nandini Nair,CSE,7,4,57,43,30,34,54,6,4.3,5,0,1,1,1
STU0346,Simran Pillai,MECH,1,1,64,70,69,61,70,1,6.9,1,1,1,1,1
STU0347,Tanmay Rajput,IT,8,4,75,64,51,54,84,1,6.6,1,1,1,1,1
STU0348,Prateek Mishra,MECH,2,1,32,29,25,35,57,5,5.1,4,1,2,0,1
STU0349,Sanya Arora,EE,6,3,75,54,55,52,78,2,7.4,2,1,1,1,1
STU0350,Akshay Pillai,EE,7,4,55,22,28,25,43,6,5.8,4,0,1,0,0
STU0351,Saloni Chopra,IT,7,4,67,59,59,57,60,3,7.7,1,1,1,1,1
STU0352,Siddhant Verma,CIVIL,7,4,34,40,40,26,43,5,5.9,5,1,1,1,1
STU0353,Ankit Jain,ECE,5,3,62,58,51,61,78,3,7.4,1,1,1,1,1
STU0354,Ashish Shukla,CIVIL,2,1,99,83,89,82,86,0,9.7,0,2,2,2,2
STU0355,Deepika Singh,EE,7,4,92,86,98,98,99,0,9.3,0,2,2,2,2
STU0356,Jatin Reddy,CIVIL,1,1,42,26,31,21,52,6,5.3,2,1,2,1,0
STU0357,Manav Agarwal,MECH,6,3,51,40,26,38,50,4,5.0,4,0,2,1,0
STU0358,Pranav Pandey,MECH,3,2,48,44,37,38,50,6,4.7,5,1,1,0,0
STU0359,Mayank Reddy,EE,8,4,42,36,29,21,60,3,5.2,3,1,2,0,0
STU0360,Kavya Shah,EE,6,3,37,35,37,37,57,5,5.3,5,0,1,0,0
STU0361,Isha Joshi,CIVIL,2,1,98,97,81,99,89,0,8.8,0,2,2,2,2
STU0362,Pratik Verma,CIVIL,7,4,54,27,50,20,67,4,5.8,2,0,1,1,1
STU0363,Tushar Arora,MECH,2,1,97,84,83,95,88,0,8.6,0,2,2,2,2
STU0364,Amitabh Iyer,ECE,4,2,78,63,50,51,74,1,7.5,1,1,1,1,1
STU0365,Harsh Patel,IT,7,4,66,52,70,66,84,1,6.4,0,1,1,1,1
STU0366,Vikram Gupta,ECE,7,4,42,40,50,49,52,4,4.6,2,1,1,0,0
STU0367,Udit Verma,EE,2,1,71,62,54,69,78,1,7.8,0,1,1,1,1
STU0368,Ishaan Saxena,CIVIL,7,4,35,49,24,43,66,4,4.7,5,1,1,1,1
STU0369,Akash Tiwari,ECE,5,3,73,56,65,63,81,2,7.3,0,1,1,1,1
STU0370,Himanshu Mishra,CIVIL,6,3,89,83,97,94,87,0,8.1,0,2,2,2,2
STU0371,Pratik Yadav,CSE,4,2,38,21,27,28,55,4,4.4,3,0,2,1,1
STU0372,Sachin Agarwal,MECH,6,3,87,81,92,83,95,0,9.9,0,2,2,2,2
STU0373,Prateek Srivastava,IT,3,2,68,64,56,53,73,3,7.0,1,1,1,1,1
STU0374,Vedant Kumar,CIVIL,2,1,97,93,97,89,100,0,9.1,0,2,2,2,2
STU0375,Chetan Yadav,IT,2,1,93,95,80,90,94,0,9.6,0,2,2,2,2
STU0376,Vikram Rajput,CIVIL,4,2,75,59,65,54,77,3,6.5,1,1,1,1,1
STU0377,Kunal Mehta,CIVIL,6,3,96,85,84,82,90,0,9.5,0,2,2,2,2
STU0378,Sakshi Verma,IT,6,3,78,59,55,64,76,3,7.2,0,1,1,1,1
STU0379,Kunal Chopra,IT,3,2,55,37,20,44,57,6,4.5,2,0,1,1,1
STU0380,Sneha Reddy,ECE,4,2,41,38,37,32,44,3,5.0,2,1,1,1,0
STU0381,Neha Saxena,CIVIL,2,1,41,42,24,40,51,4,5.1,5,1,2,1,0
STU0382,Anjali Kapoor,CSE,3,2,97,88,100,97,85,0,9.7,0,2,2,2,2
STU0383,Arjun Dixit,ECE,5,3,37,50,48,39,65,3,5.5,3,1,1,1,1
STU0384,Sohil Yadav,EE,4,2,64,69,64,60,80,1,6.7,0,1,1,1,1
STU0385,Vipul Chopra,EE,3,2,73,54,50,66,69,2,7.2,0,1,1,1,1
STU0386,Vikas Gupta,MECH,3,2,100,92,84,97,100,0,8.7,0,2,2,2,2
STU0387,Meghna Arora,CSE,2,1,65,69,52,54,84,1,6.5,1,1,1,1,1
STU0388,Parth Kumar,CIVIL,3,2,80,64,65,62,62,1,7.2,0,1,1,1,1
STU0389,Anil Chaudhary,CSE,8,4,76,66,69,57,80,2,7.0,0,1,1,1,1
STU0390,Shivam Nair,EE,8,4,58,34,45,23,41,3,5.5,4,0,1,1,1
STU0391,Aditya Shah,CIVIL,8,4,87,88,100,99,97,0,9.8,0,2,2,2,2
STU0392,Zara Bhatt,CSE,6,3,100,81,82,97,91,0,9.5,0,2,2,2,2
STU0393,Arjun Jain,IT,6,3,55,23,49,21,49,5,5.4,2,1,2,0,0
STU0394,Muskan Shukla,ECE,3,2,46,32,48,37,58,5,5.3,3,1,2,0,1
STU0395,Srishti Tiwari,CIVIL,8,4,34,30,29,36,45,4,4.0,5,0,2,0,1
STU0396,Piyush Chauhan,IT,2,1,56,30,50,46,56,3,5.7,2,1,1,0,0
STU0397,Tanvi Bansal,ECE,8,4,89,90,100,88,98,0,9.7,0,2,2,2,2
STU0398,Shruti Bhatnagar,CSE,8,4,56,47,20,47,53,5,5.5,5,1,1,1,1
STU0399,Saniya Arora,CIVIL,5,3,92,89,86,97,98,0,8.2,0,2,2,2,2
STU0400,Vikram Rastogi,MECH,5,3,56,44,48,47,47,4,5.5,5,0,2,0,1
